1234	51
1263	155
1262	261
1276	367
1334	475
1377	588
1332	701
1347	813
1391	927
1390	1043
1434	1161
1476	1282
1461	1404
1461	1526
1476	1648
1490	1772
1476	1896
1476	2019
1476	2142
1490	2265
1503	2390
1562	2518
1547	2647
1488	2774
1519	2899
1533	3026
1547	3155
1562	3284
1604	3416
1589	3549
1560	3680
1575	3811
1547	3941
1532	4069
1547	4198
1548	4327
1533	4455
1533	4583
1548	4711
1533	4840
1489	4966
1491	5090
1476	5214
1447	5335
1476	5457
1461	5580
1432	5700
1432	5819
1448	5940
1419	6059
1419	6177
1420	6296
1405	6413
1390	6530
1376	6645
1421	6762
1348	6877
1247	6985
1220	7088
1192	7189
1149	7286
1135	7381
1078	7474
1021	7561
949	7643
893	7720
794	7790
693	7852
623	7907
523	7955
437	7995
381	8029
296	8057
166	8076
53	8086
-31	8087
-160	8079
-260	8061
-302	8038
-373	8010
-459	7975
-501	7935
-558	7891
-644	7841
-701	7785
-742	7725
-800	7661
-828	7593
-870	7522
-899	7448
-1000	7369
-1057	7283
-1098	7194
-1155	7100
-1184	7002
-1183	6904
-1242	6803
-1255	6699
-1269	6594
-1298	6487
-1313	6378
-1312	6269
-1341	6158
-1340	6046
-1355	5934
-1354	5821
-1354	5708
-1398	5594
-1455	5475
-1439	5354
-1469	5233
-1454	5112
-1439	4991
-1440	4871
-1455	4750
-1454	4629
-1454	4508
-1484	4386
-1469	4263
-1439	4142
-1455	4021
-1427	3901
-1397	3783
-1383	3668
-1413	3551
-1426	3433
-1411	3315
-1440	3196
-1397	3078
-1383	2962
-1383	2847
-1383	2731
-1369	2617
-1340	2504
-1355	2392
-1355	2279
-1312	2168
-1297	2059
-1327	1950
-1284	1841
-1255	1735
-1300	1629
-1270	1522
-1226	1418
-1256	1314
-1198	1212
-1183	1113
-1199	1014
-1156	915
-1141	820
-1171	724
-1141	627
-1112	533
-1098	441
-1070	351
-1028	264
-970	180
-913	102
-929	25
-885	-50
-856	-123
-857	-194
-844	-265
-785	-333
-772	-398
-743	-461
-686	-520
-657	-576
-673	-632
-644	-687
-558	-737
-545	-783
-517	-827
-415	-866
-344	-897
-360	-927
-317	-955
-273	-979
-245	-1001
-188	-1019
-117	-1032
-60	-1039
-3	-1041
54	-1039
82	-1034
109	-1026
196	-1013
239	-995
296	-972
352	-945
424	-913
438	-877
408	-842
424	-807
410	-772
394	-739
438	-704
452	-667
437	-630
437	-594
438	-557
422	-521
466	-484
508	-444
565	-399
622	-349
679	-295
722	-237
765	-175
749	-112
