648	27
722	84
767	146
782	211
811	277
871	347
886	420
900	495
960	572
1019	655
1049	741
1124	832
1138	926
1168	1022
1243	1123
1272	1227
1317	1335
1331	1446
1346	1557
1391	1671
1406	1788
1450	1907
1480	2029
1539	2155
1569	2284
1599	2416
1673	2553
1703	2693
1792	2839
1867	2991
1911	3149
1926	3309
2015	3473
2104	3645
2193	3824
2223	4008
2252	4194
2327	4385
2386	4581
2431	4782
2460	4986
2505	5193
2535	5403
2579	5616
2609	5832
2609	6050
2564	6265
2565	6479
2580	6693
2505	6905
2505	7114
2490	7322
2491	7530
2475	7737
2446	7942
2431	8145
2401	8346
2386	8546
2386	8745
2371	8943
2386	9141
2371	9339
2431	9539
2416	9741
2386	9942
2431	10142
2506	10348
2475	10556
2490	10762
2565	10973
2609	11189
2639	11407
2713	11630
2758	11858
2802	12090
2817	12324
2817	12559
2847	12795
2877	13034
2877	13273
2891	13514
2921	13756
2936	14000
2981	14247
3010	14496
2966	14745
2981	14993
2996	15242
3011	15492
2951	15741
2921	15985
2936	16230
2862	16471
2802	16707
2713	16937
2594	17158
2535	17372
2446	17579
2357	17780
2253	17972
2134	18155
2030	18328
1941	18494
1777	18648
1658	18792
1584	18927
1465	19054
1331	19170
1212	19276
1109	19373
1005	19461
871	19539
752	19607
633	19665
514	19712
395	19750
291	19779
187	19799
83	19810
-36	19812
-95	19807
-199	19795
-303	19774
-348	19747
-377	19716
-452	19682
-496	19642
-526	19600
-555	19555
-645	19505
-704	19449
-793	19386
-838	19318
-897	19246
-927	19170
-912	19093
-957	19016
-1031	18933
-1046	18846
-1120	18756
-1180	18660
-1179	18562
-1224	18462
-1284	18357
-1313	18249
-1328	18139
-1313	18029
-1313	17920
-1328	17810
-1328	17699
-1343	17588
-1343	17476
-1358	17363
-1343	17251
-1343	17139
-1358	17027
-1328	16915
-1269	16806
-1254	16701
-1209	16599
-1179	16499
-1179	16401
-1239	16300
-1254	16196
-1209	16094
-1209	15993
-1209	15892
-1209	15792
