2864	119
2717	352
2495	569
2318	770
2082	953
1846	1117
1625	1261
1374	1386
1124	1490
888	1574
622	1637
386	1679
181	1703
-56	1708
-248	1695
-395	1669
-587	1628
-749	1572
-867	1505
-1015	1426
-1088	1339
-1132	1246
-1206	1149
-1221	1048
-1235	945
-1280	841
-1309	733
-1294	624
-1339	515
-1353	402
-1353	290
-1427	174
-1427	55
-1397	-63
-1413	-180
-1353	-295
-1368	-408
-1398	-524
-1383	-640
-1353	-754
-1353	-866
-1324	-978
-1324	-1088
-1354	-1200
-1324	-1311
-1339	-1422
-1339	-1534
-1294	-1643
-1294	-1751
-1324	-1860
-1294	-1969
-1324	-2078
-1368	-2191
-1353	-2304
-1324	-2416
-1353	-2527
-1338	-2639
-1383	-2753
-1398	-2868
-1367	-2984
-1397	-3099
-1442	-3217
-1427	-3337
-1471	-3457
-1530	-3582
-1545	-3710
-1604	-3842
-1604	-3975
-1604	-4109
-1649	-4245
-1663	-4382
-1618	-4519
-1663	-4656
-1693	-4796
-1692	-4937
-1707	-5078
-1766	-5223
-1796	-5371
-1781	-5520
-1810	-5670
-1840	-5822
-1825	-5975
-1766	-6124
-1751	-6271
-1810	-6419
-1840	-6571
-1810	-6724
-1751	-6872
-1736	-7017
-1751	-7162
-1796	-7310
-1810	-7460
-1869	-7614
-1884	-7770
-1899	-7928
-1928	-8087
-2002	-8251
-2061	-8420
-2091	-8593
-2120	-8769
-2150	-8947
-2179	-9127
-2209	-9310
-2208	-9494
-2268	-9680
-2312	-9871
-2296	-10063
-2326	-10256
-2356	-10451
-2370	-10648
-2385	-10846
-2415	-11046
-2385	-11246
-2371	-11444
-2371	-11641
-2326	-11837
-2371	-12033
-2429	-12233
-2385	-12433
-2385	-12632
-2429	-12833
-2370	-13033
-2355	-13229
-2415	-13428
-2385	-13628
-2370	-13826
-2400	-14025
-2370	-14224
-2400	-14423
-2400	-14623
-2370	-14821
-2400	-15020
-2371	-15219
-2326	-15414
-2297	-15607
-2282	-15798
-2282	-15988
-2312	-16179
-2282	-16371
-2253	-16560
-2253	-16748
-2223	-16934
-2164	-17117
-2164	-17297
-2135	-17476
-2105	-17653
-2090	-17828
-2091	-18002
-2076	-18175
-2031	-18347
-2002	-18515
-1973	-18680
-1958	-18844
-1928	-19006
-1928	-19167
