1416	59
1416	177
1416	295
1416	413
1431	532
1431	651
1431	770
1476	892
1521	1016
1566	1145
1611	1278
1626	1412
1596	1547
1626	1681
1626	1817
1626	1952
1581	2086
1551	2216
1551	2346
1536	2474
1551	2603
1566	2733
1551	2863
1536	2991
1536	3120
1551	3248
1551	3377
1581	3508
1611	3641
1626	3776
1671	3913
1701	4054
1731	4197
1792	4344
1807	4494
1822	4645
1852	4798
1852	4953
1897	5109
1927	5268
1942	5429
1942	5591
1957	5754
1942	5916
1942	6078
1972	6241
1972	6406
1972	6570
1972	6734
1972	6899
1957	7063
1957	7226
1987	7390
2002	7556
1987	7723
1972	7888
1927	8050
1897	8209
1897	8368
1882	8525
1867	8681
1807	8834
1792	8984
1777	9133
1762	9281
1762	9428
1777	9575
1747	9722
1716	9866
1671	10007
1656	10146
1686	10285
1716	10427
1777	10573
1792	10721
1747	10869
1656	11011
1551	11144
1446	11269
1326	11385
1206	11490
1070	11585
890	11667
770	11736
619	11794
499	11841
379	11877
274	11905
139	11922
18	11929
-102	11925
-192	11913
-297	11893
-417	11863
-508	11824
-628	11777
-718	11721
-823	11657
-913	11585
-988	11505
-1079	11419
-1169	11326
-1244	11225
-1289	11120
-1334	11010
-1379	10897
-1409	10781
-1454	10662
-1469	10540
-1499	10417
-1574	10289
-1620	10156
-1695	10018
-1740	9874
-1800	9727
-1831	9576
-1845	9423
-1845	9269
-1875	9114
-1921	8956
-1935	8795
-1981	8632
-2011	8466
-2010	8298
-2041	8130
-2086	7958
-2101	7783
-2101	7608
-2101	7433
-2086	7259
-2101	7084
-2086	6910
-2086	6736
-2056	6564
-2040	6393
-2026	6224
-2011	6055
-1996	5888
-1980	5723
-1965	5558
-1966	5395
-1951	5232
-1905	5071
-1890	4913
-1876	4756
-1861	4600
-1846	4446
-1830	4293
-1785	4142
-1680	3998
-1575	3862
-1469	3735
-1349	3618
-1274	3509
-1169	3407
-1109	3312
-1064	3222
-1003	3136
-913	3056
-868	2982
-823	2911
-793	2844
-748	2780
-703	2719
-703	2661
-733	2601
-718	2541
-703	2481
-733	2422
-778	2359
-778	2294
-838	2227
-868	2156
-898	2082
-928	2006
-988	1926
-1049	1841
-1139	1750
-1169	1654
-1199	1556
-1244	1454
-1274	1349
-1289	1242
-1304	1134
-1274	1027
-1259	921
-1244	817
-1244	713
-1244	610
-1229	507
-1199	406
-1199	306
-1169	207
-1154	110
-1109	16
-1079	-75
-1049	-164
-1064	-252
-1049	-340
-988	-424
-973	-506
-943	-586
-913	-663
-853	-737
-808	-806
-748	-871
-673	-930
-613	-983
-553	-1032
-493	-1075
-387	-1112
-282	-1140
-177	-1159
-57	-1169
48	-1169
154	-1161
289	-1142
349	-1115
454	-1082
559	-1040
665	-989
785	-928
890	-858
950	-782
1010	-700
1055	-614
1115	-523
1221	-426
1371	-318
1521	-197
1626	-66
1731	74
1807	221
1882	375
1957	535
2047	702
2107	875
2137	1052
2197	1232
2227	1417
2182	1600
2212	1784
2212	1968
2212	2152
2197	2336
2242	2521
2212	2707
2182	2890
2197	3072
2182	3255
2167	3436
2137	3615
2092	3792
2077	3965
2047	4137
2047	4308
2002	4477
1957	4642
1927	4804
1882	4962
1852	5118
1852	5272
1867	5427
1882	5584
1882	5740
1897	5898
1897	6056
1897	6214
1942	6374
1972	6537
2002	6703
2047	6872
2032	7042
2062	7212
2092	7385
2107	7560
2092	7735
2077	7909
2077	8082
2062	8255
2017	8425
2002	8592
1987	8759
1942	8922
1897	9082
1867	9239
1852	9394
1837	9548
1822	9700
1777	9850
1762	9998
1777	10145
1762	10293
1716	10438
1671	10579
1611	10716
1536	10847
1446	10971
1386	11089
1311	11202
1206	11307
1100	11403
980	11489
830	11565
695	11629
574	11681
484	11726
439	11764
454	11801
469	11840
469	11879
424	11916
334	11948
259	11973
154	11990
109	12001
48	12007
-72	12006
-177	11996
-237	11979
-327	11955
-387	11926
-462	11890
-538	11849
-658	11799
-718	11742
-793	11679
-868	11610
-943	11534
-1003	11453
-1064	11367
-1154	11275
-1199	11177
-1274	11074
-1364	10964
-1424	10848
-1499	10726
-1559	10599
-1635	10466
-1680	10327
-1695	10187
-1710	10045
-1740	9901
-1755	9756
-1785	9608
-1770	9460
-1800	9311
-1800	9162
-1800	9012
-1800	8862
-1785	8712
-1770	8564
-1770	8417
-1770	8269
-1755	8122
-1740	7977
-1740	7832
-1740	7687
-1740	7542
-1740	7397
-1755	7251
-1740	7106
-1740	6961
-1770	6815
-1770	6667
-1786	6519
-1770	6371
-1740	6225
-1755	6079
-1740	5934
-1740	5789
-1710	5645
-1741	5501
-1665	5359
-1605	5223
-1544	5092
-1514	4965
-1469	4840
-1424	4720
-1349	4604
-1334	4493
-1334	4381
-1319	4271
-1334	4160
-1304	4051
-1214	3946
-1079	3850
-928	3767
-853	3692
-793	3624
-763	3559
-763	3496
-763	3432
-748	3369
-748	3307
-763	3244
-733	3182
-703	3122
-673	3064
-688	3008
-673	2951
-658	2896
-643	2842
-643	2788
-628	2735
-658	2682
-688	2626
-688	2568
-718	2510
-763	2448
-793	2383
-838	2315
-898	2243
-943	2166
-1003	2085
-1049	2000
-1094	1911
-1139	1818
-1154	1722
-1169	1625
-1184	1527
-1184	1429
-1199	1329
-1169	1231
-1154	1134
-1169	1037
-1169	940
-1184	842
-1139	745
-1124	651
-1109	558
-1079	467
-1064	378
-1064	289
-1034	202
-1018	116
-973	33
-958	-47
-943	-126
-898	-203
-883	-277
-838	-349
-823	-418
-823	-487
-778	-553
-748	-617
-718	-678
-673	-736
-583	-788
-478	-832
-402	-869
-282	-897
-132	-914
48	-918
229	-906
409	-880
574	-839
710	-785
800	-722
860	-653
875	-581
935	-505
1040	-423
1160	-331
1341	-227
1521	-108
1671	25
1762	168
1837	318
1882	473
1927	632
1927	793
1957	955
2002	1120
1972	1285
1942	1448
1957	1611
1942	1773
1972	1937
1972	2101
1987	2266
2017	2433
2047	2602
2032	2772
2047	2942
2062	3113
2077	3286
2062	3458
2032	3629
2017	3798
1957	3963
1942	4126
1897	4286
1882	4443
1882	4600
1897	4758
1882	4915
1882	5072
1942	5232
1972	5395
1987	5560
1987	5725
2017	5892
2017	6060
2002	6228
2002	6395
2017	6562
1987	6729
1942	6893
1972	7056
1972	7220
1972	7385
1987	7550
2002	7716
2017	7883
2017	8052
2017	8220
1972	8386
1957	8550
1957	8713
1912	8874
1867	9032
1867	9187
1852	9342
1822	9495
1792	9646
1762	9794
1747	9940
1701	10084
1701	10226
1671	10366
1626	10504
1566	10637
1491	10764
1431	10886
1356	11002
1281	11112
1191	11215
1070	11309
965	11394
830	11469
725	11534
635	11591
619	11643
604	11694
589	11744
544	11791
439	11832
349	11865
274	11891
214	11911
139	11926
79	11935
3	11938
-102	11934
-192	11922
-312	11901
-417	11871
-523	11832
-613	11784
-718	11729
-808	11666
-898	11594
-973	11517
-1034	11433
-1124	11343
-1214	11246
-1259	11143
-1319	11035
-1409	10922
-1484	10801
-1529	10676
-1620	10545
-1680	10407
-1725	10265
-1785	10119
-1800	9970
-1815	9819
-1815	9668
-1830	9516
-1815	9364
-1785	9214
-1785	9066
-1800	8916
-1800	8766
-1800	8616
-1800	8466
-1785	8317
-1755	8170
-1786	8022
-1770	7874
-1785	7726
-1846	7575
-1815	7422
-1830	7270
-1830	7118
-1861	6964
-1845	6810
-1860	6655
-1845	6501
-1830	6348
-1800	6197
-1800	6047
-1800	5897
-1770	5748
-1785	5600
-1770	5452
-1755	5305
-1740	5160
-1695	5016
-1650	4877
-1620	4741
-1590	4607
-1544	4477
-1484	4351
-1454	4228
-1424	4108
-1409	3990
-1364	3875
-1304	3764
-1214	3659
-1079	3563
-943	3479
-838	3405
-748	3339
-703	3278
-688	3221
-643	3165
-628	3112
-613	3061
-598	3010
-598	2960
-598	2911
-613	2860
-613	2809
-583	2759
-568	2711
-628	2662
-658	2608
-658	2553
-688	2497
-718	2439
-763	2377
-808	2312
-853	2242
-898	2169
-973	2092
-1003	2009
-1064	1923
-1109	1833
-1169	1738
-1229	1638
-1259	1534
-1259	1429
-1289	1323
-1289	1216
-1259	1110
-1274	1004
-1244	899
-1214	797
-1184	697
-1139	600
-1124	506
-1079	414
-1003	328
-958	246
-913	168
-868	94
-838	23
-808	-46
-763	-111
-748	-174
-673	-233
-643	-288
-643	-341
-628	-394
-613	-446
-568	-495
-538	-541
-508	-585
-462	-625
-372	-660
-282	-687
-147	-705
-27	-712
79	-710
199	-698
304	-677
424	-647
544	-607
635	-557
695	-502
770	-441
860	-373
920	-299
965	-220
1040	-136
1100	-47
1251	51
1371	160
1506	280
1641	411
1731	552
1762	697
1792	845
1852	997
1882	1153
1912	1311
1942	1472
1957	1634
1957	1797
1927	1959
1912	2119
1912	2278
1927	2438
1897	2598
1882	2755
1897	2913
1882	3070
1882	3227
1867	3383
1852	3538
1852	3693
1852	3847
1777	3998
1716	4144
1671	4285
1626	4423
1566	4556
1521	4684
1506	4811
1476	4935
1461	5057
1446	5178
1446	5299
1461	5420
1461	5542
1491	5665
1506	5790
1521	5916
1536	6043
1566	6173
1641	6306
1686	6445
1716	6587
1747	6731
1762	6877
1792	7026
1792	7175
1762	7323
1732	7469
1731	7613
1671	7755
1641	7893
1626	8029
1566	8162
1536	8291
1521	8419
1521	8546
1506	8672
1536	8798
1491	8925
1431	9046
1431	9166
1461	9286
1431	9407
1431	9526
1431	9645
1371	9762
1341	9875
1326	9986
1296	10096
1266	10202
1236	10307
1191	10408
1100	10503
1040	10593
935	10675
875	10750
860	10823
860	10894
845	10966
770	11033
650	11092
529	11141
409	11180
319	11211
229	11234
169	11250
109	11262
18	11267
-42	11266
-102	11260
-192	11248
-237	11230
-327	11207
-417	11176
-478	11139
-583	11094
-658	11043
-718	10985
-778	10923
-868	10855
-928	10780
-988	10700
-1064	10615
-1139	10523
-1259	10423
-1334	10315
-1454	10199
-1529	10075
-1559	9946
-1559	9816
-1559	9686
-1559	9556
-1590	9425
-1620	9291
-1620	9157
-1635	9021
-1605	8886
-1620	8752
-1620	8617
-1650	8480
-1681	8342
-1665	8202
-1650	8064
-1665	7926
-1695	7786
-1710	7644
-1710	7502
-1725	7359
-1755	7214
-1740	7068
-1801	6921
-1770	6772
-1755	6625
-1755	6479
-1755	6333
-1740	6187
-1725	6043
-1695	5900
-1680	5760
-1650	5621
-1650	5484
-1605	5348
-1575	5216
-1559	5085
-1559	4955
-1544	4826
-1529	4698
-1454	4574
-1409	4454
-1379	4338
-1349	4225
-1349	4112
-1319	4001
-1259	3894
-1184	3792
-1094	3697
-973	3611
-883	3534
-838	3462
-778	3395
-778	3330
-778	3265
-763	3201
-748	3138
-718	3077
-718	3017
-688	2959
-673	2902
-673	2846
-613	2793
-613	2742
-613	2690
-628	2639
-628	2587
-643	2534
-673	2479
-688	2422
-763	2362
-808	2296
-853	2227
-898	2154
-973	2076
-1034	1993
-1094	1904
-1154	1810
-1184	1713
-1214	1613
-1244	1511
-1274	1406
-1244	1301
-1259	1197
-1289	1091
-1274	984
-1244	879
-1184	778
-1169	680
-1139	584
-1094	491
-1079	400
-1049	312
-988	227
-943	146
-898	70
-838	-2
-823	-72
-793	-139
-763	-204
-718	-265
-703	-325
-733	-384
-688	-444
-643	-499
-613	-551
-493	-597
-387	-634
-252	-660
-87	-675
33	-677
169	-668
289	-649
394	-621
469	-585
559	-542
665	-491
740	-432
815	-367
920	-295
1025	-214
1085	-126
1115	-34
1160	61
1251	161
1311	268
1461	383
1626	512
1777	654
1912	808
2017	971
2107	1143
2137	1320
2167	1500
2152	1680
2137	1858
2152	2037
2122	2215
2107	2391
2092	2566
2122	2742
2152	2920
2137	3099
2167	3278
2182	3460
2212	3643
2227	3828
2227	4013
2227	4199
2212	4384
2182	4567
2167	4748
2152	4928
2122	5106
2077	5281
2032	5453
2032	5622
2047	5792
2032	5962
2047	6132
2047	6303
2062	6474
2062	6646
2092	6819
2122	6994
2107	7171
2077	7345
2062	7518
2077	7690
2077	7863
2062	8036
2062	8208
2032	8378
2047	8548
2032	8718
1942	8884
1912	9044
1942	9205
1942	9367
1897	9527
1792	9681
1747	9828
1747	9974
1731	10119
1716	10262
1701	10405
1686	10546
1656	10685
1641	10823
1626	10959
1581	11093
1521	11222
1506	11348
1461	11472
1461	11594
1401	11713
1296	11825
1236	11931
1190	12032
1085	12127
1010	12214
950	12296
860	12371
710	12437
559	12490
454	12532
394	12567
379	12599
394	12632
364	12663
289	12691
259	12713
184	12732
109	12744
48	12751
3	12753
-102	12749
-207	12736
-267	12716
-372	12690
-462	12655
-553	12613
-628	12564
-718	12508
-793	12445
-868	12376
-958	12299
-1034	12217
-1124	12127
-1214	12029
-1289	11925
-1364	11815
-1454	11697
-1544	11572
-1605	11441
-1665	11305
-1756	11162
-1801	11014
-1845	10862
-1875	10707
-1890	10551
-1921	10392
-1905	10232
-1890	10074
-1875	9918
-1905	9760
-1936	9600
-1906	9440
-1890	9282
-1875	9125
-1890	8968
-1891	8811
-1860	8654
-1845	8500
-1860	8346
-1845	8191
-1830	8038
-1891	7883
-1890	7726
-1890	7568
-1860	7412
-1890	7256
-1905	7098
-1920	6939
-1921	6779
-1876	6620
-1860	6465
-1830	6311
-1816	6159
-1800	6009
-1785	5859
-1785	5711
-1785	5562
-1740	5415
-1710	5271
-1695	5129
-1665	4989
-1620	4853
-1544	4721
-1484	4595
-1469	4472
-1439	4351
-1424	4231
-1394	4114
-1334	4000
-1274	3892
-1169	3790
-1049	3698
-943	3615
-853	3540
-748	3473
-703	3413
-673	3355
-628	3301
-598	3250
-598	3200
-598	3151
-613	3100
-613	3049
-598	2999
-643	2947
-658	2893
-703	2836
-733	2777
-778	2714
-808	2648
-838	2579
-853	2509
-883	2436
-928	2361
-943	2283
-973	2203
-1049	2119
-1079	2030
-1109	1939
-1139	1846
-1154	1750
-1199	1652
-1259	1550
-1289	1444
-1289	1336
-1304	1228
-1289	1120
-1274	1013
-1274	907
-1259	802
-1259	697
-1214	594
-1199	493
-1229	392
-1214	291
-1184	191
-1184	92
